com.samsung.health.device_profile,6302031,9
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,legacy_deviceuuid,connectivity_type,deviceuuid,pkg_name,accessory_type,fixed_name,datauuid
Samsung,,,,,,,,360001,2024-08-17 02:01:44.596,2024-08-17 02:01:44.596,My Device,SM-S921U,,,eyJR0JcLIT,com.sec.android.app.shealth,,Christopher's S24,0589645f-91bd-257a-4d2c-001278fe4893,
Samsung,,,,,,,,360001,2024-08-21 15:50:07.651,2024-07-07 22:27:22.556,My Device,SM-S921U,,,O9FeBgTflh,com.sec.android.app.shealth,,Christopher's Old S24,95c693f4-c8fa-e748-db46-35fb9b043b72,
Samsung,,,,,,,,360001,2023-07-12 05:17:04.429,2023-07-12 05:17:04.429,My Device,SM-G996U,,,KKMhhPrdKR,com.sec.android.app.shealth,,Christopher's S21+,59034c88-202a-9288-b905-c30b05d44772,
Combined,,,,,,,,0,2023-07-14 21:57:13.667,2023-07-14 21:57:13.667,Combined,Combined,,,VfS0qUERdZ,com.sec.android.app.shealth,,Christopher's S21+,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,,,0,2023-07-14 21:57:17.176,2023-07-14 21:57:17.176,all_target,all_target,,,Mk66SbFqK1,com.sec.android.app.shealth,,Christopher's S21+,471ca32b-a665-1e9e-7c27-7ac69485dc05,
Samsung Electronics,1,,102,10054,1,cfdceb55-c154-4b66-90fa-bd1f0464868f.capability.json,62600630,360003,2023-12-27 14:23:13.212,2023-06-28 21:08:52.470,Galaxy Watch4,SM-R875U,,,MPNPO0O1wv,com.sec.android.app.shealth,,Christopher's S21+,cfdceb55-c154-4b66-90fa-bd1f0464868f,
Samsung,,,,,,,,360001,2020-09-30 06:35:13.814,2020-09-30 06:35:13.814,My Device,SM-G960U1,,,JFkyYd2pC4,com.sec.android.app.shealth,,Galaxy S9,7492dab7-c428-6984-830d-1c58bff1638c,
Samsung Electronics,1,62600630,102,10054,1,dfe129f8-2949-458e-816a-0ff7224eebef.capability.json,62701570,360003,2024-07-07 20:54:35.105,2023-12-28 20:40:51.406,Galaxy Watch4,SM-R875U,,,sH3figesN6,com.sec.android.app.shealth,,Christopher's S21+,dfe129f8-2949-458e-816a-0ff7224eebef,
Samsung Electronics,1,,102,10054,1,12bfd373-9816-4dc2-8e05-b44055d05941.capability.json,62701610,360003,2024-07-24 23:42:09.624,2024-07-07 22:31:34.850,Galaxy Watch4,SM-R875U,,,SnrY7WKSDr,com.sec.android.app.shealth,,Christopher's S24,12bfd373-9816-4dc2-8e05-b44055d05941,
Samsung Electronics,1,,106,10058,1,0909dab7-a501-4189-82f5-0b6dd019caaa.capability.json,63020310,360003,2025-07-05 11:26:04.720,2024-09-25 20:44:07.113,Galaxy Watch6,SM-R945U,,,uAWUqdMJDI,com.sec.android.app.shealth,,,0909dab7-a501-4189-82f5-0b6dd019caaa,
