com.samsung.health.floors_climbed,6302031,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2023-07-07 19:10:41.001,,2023-07-07 19:10:56.735,2023-07-07 19:10:56.735,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-07 19:10:56.001,a0bf3c71-1ed8-43f0-baca-35c6d126cca7,
2023-07-08 00:31:16.000,,2023-07-08 00:33:33.291,2023-07-08 00:33:33.291,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-08 00:31:34.000,c8813661-8378-4925-9edc-5f236d81c403,
2023-07-09 01:05:03.000,,2023-07-09 01:06:35.256,2023-07-09 01:06:35.256,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-09 01:05:11.000,b2abf6b3-179e-4f0e-bd99-c526e88731f5,
2023-07-09 01:18:02.000,,2023-07-09 01:21:47.630,2023-07-09 01:21:47.630,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-09 01:18:21.000,963d68fd-9794-4556-83be-8818d0bcb496,
2023-07-09 23:27:07.000,,2023-07-09 23:33:40.502,2023-07-09 23:33:40.502,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-09 23:27:22.000,1b1597c9-5dc4-4117-80a7-a008c6c14a54,
2023-07-09 23:28:08.000,,2023-07-09 23:33:40.908,2023-07-09 23:33:40.908,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-09 23:28:22.000,9c66349b-fe84-4b2a-b2aa-770abe4554a4,
2023-07-10 16:35:29.000,,2023-07-10 16:35:41.265,2023-07-10 16:35:41.265,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-10 16:35:38.000,8b4fe4fb-ad80-49db-838e-c7d21a7c96f6,
2023-07-10 16:40:11.999,,2023-07-10 16:42:00.548,2023-07-10 16:42:00.548,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-10 16:40:20.999,cf8dda91-800b-41ff-83c6-822bb872493e,
2023-07-12 04:43:29.000,,2023-07-12 04:48:23.879,2023-07-12 04:48:23.879,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-12 04:43:48.000,d807517a-fedd-41b2-805e-63cd2c006afa,
2023-07-12 15:44:36.000,,2023-07-12 15:44:52.459,2023-07-12 15:44:52.459,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-12 15:44:43.000,5c4624b6-6fcc-43d7-b597-2a3ab3937ec6,
2023-07-12 15:49:47.001,,2023-07-12 15:50:24.979,2023-07-12 15:50:24.979,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-12 15:49:57.001,59dc4a21-5b27-43e6-98c0-40eb96bc2197,
2023-07-12 20:28:02.999,,2023-07-12 20:28:59.039,2023-07-12 20:28:59.039,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-12 20:28:07.999,23ab2385-6ed8-4813-a1d7-0f71f7533f85,
2023-07-12 20:42:21.999,,2023-07-12 21:06:20.707,2023-07-12 21:06:20.707,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-12 20:42:29.999,63698525-0c7d-40a4-9fb9-84f2b3ee5d0c,
2023-07-12 21:10:42.000,,2023-07-12 21:12:40.906,2023-07-12 21:12:40.906,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-12 21:10:48.000,58a8092d-aca2-4b42-ba15-3f2b96e4c619,
2023-07-12 22:24:51.001,,2023-07-12 22:29:02.786,2023-07-12 22:29:02.786,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-12 22:24:59.001,9e143dc7-05e4-4184-91c9-4b7ffd5df5db,
2023-07-12 22:25:31.000,,2023-07-12 22:29:03.205,2023-07-12 22:29:03.205,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-12 22:25:41.000,756cf69f-e8cf-4dca-ba0e-1747f0a939bb,
2023-07-14 22:56:51.000,,2023-07-14 22:57:28.631,2023-07-14 22:57:28.631,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-14 22:57:12.000,5b711067-ae7e-4de5-a123-4e4e3534ca21,
2023-07-15 00:26:46.000,,2023-07-15 00:36:23.443,2023-07-15 00:36:23.443,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-15 00:27:01.000,4783fb1c-1e71-428f-b411-e66757773aa3,
2023-07-15 00:28:31.000,,2023-07-15 00:36:23.815,2023-07-15 00:36:23.815,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-15 00:28:41.000,37ff1465-a5f3-4d3d-a17d-2ea6b22c0afb,
2023-07-15 18:24:27.000,,2023-07-15 18:25:57.505,2023-07-15 18:25:57.505,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-15 18:24:46.000,ff91c6bb-8d44-42db-a781-3cace0a00dee,
2023-07-17 17:43:37.001,,2023-07-17 17:47:43.962,2023-07-17 17:47:43.962,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-17 17:43:48.001,9d716b3c-30c7-4329-aa73-30ef244867d8,
2023-07-17 21:40:15.000,,2023-07-17 21:45:00.294,2023-07-17 21:45:00.294,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-17 21:40:31.000,7a216d6e-54ca-4771-ac9a-c7f53f33867b,
2023-07-17 22:54:24.000,,2023-07-17 23:03:23.571,2023-07-17 23:03:23.571,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-17 22:54:44.000,589dc9fa-6a48-4451-a7e7-9e733b8b7fc5,
2023-07-17 23:06:55.001,,2023-07-17 23:09:07.418,2023-07-17 23:09:07.418,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-17 23:07:13.001,d50463f2-9eba-49a6-af4a-22b829b71a0a,
2023-07-17 23:23:04.001,,2023-07-17 23:23:41.415,2023-07-17 23:23:41.415,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-17 23:23:10.001,8c1a4ad6-50b8-42d0-9666-3645d543271f,
2023-07-18 01:25:38.000,,2023-07-18 01:29:40.194,2023-07-18 01:29:40.194,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-18 01:25:53.000,303dea82-b1fb-4f35-a3bc-716bbb88186d,
2023-07-18 01:27:00.999,,2023-07-18 01:29:40.580,2023-07-18 01:29:40.580,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-18 01:27:22.999,85e9e580-5c7c-4d24-aaa4-38cefa05ad7b,
2023-07-18 01:28:20.000,,2023-07-18 01:29:40.941,2023-07-18 01:29:40.941,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-18 01:28:36.000,4a547524-0b03-4704-95ea-8070bf1ce368,
2023-07-18 01:31:32.001,,2023-07-18 01:36:29.894,2023-07-18 01:36:29.894,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-18 01:31:47.001,ebd14bb3-d413-4925-b40b-3168548a6203,
2023-07-18 01:34:11.000,,2023-07-18 01:36:30.523,2023-07-18 01:36:30.523,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-18 01:34:29.000,c097a271-b2eb-4ef0-bea2-d87aad546164,
2023-07-18 01:37:41.999,,2023-07-18 01:41:37.482,2023-07-18 01:41:37.482,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-18 01:37:56.999,21bb4112-8b89-4b8e-9728-940f804f4339,
2023-07-18 01:38:55.000,,2023-07-18 01:41:38.531,2023-07-18 01:41:38.531,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-18 01:39:13.000,c04372a3-b7ee-498a-84d8-2ce1383db49f,
2023-07-18 01:40:43.000,,2023-07-18 01:41:38.825,2023-07-18 01:41:38.825,,,1.0,,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,2023-07-18 01:40:57.000,75885df9-d92a-4da4-8e52-daa765d58434,
