com.samsung.health.food_info,6302031,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,0.0,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2023-07-14 21:57:13.885,2023-07-14 21:57:13.885,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,medium (7" to 7-7/8" long),,KKMhhPrdKR,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,a3bdcce1-7edb-4d86-8ecd-a1198c3fdd41,1,
170.0,17.0,20.0,0.0,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2023-07-14 21:57:13.887,2023-07-14 21:57:13.887,0.056,0.93,0.076,2.0,Watermelon,9.42,0.0,1.0,46.0,"cup, diced",,KKMhhPrdKR,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,62c14594-e67d-466d-8a72-5eca6652e8ac,1,
233.0,0.0,149.0,0.0,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2023-07-14 21:57:13.888,2023-07-14 21:57:13.888,0.065,1.02,0.236,4.0,Strawberries,7.08,0.0,2.0,49.0,"cup, halves",,KKMhhPrdKR,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,d3731990-5168-41aa-99be-fc5e7d611c47,1,
67.0,6.0,0.0,0.0,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2023-07-14 21:57:13.890,2023-07-14 21:57:13.890,2.754,6.24,1.214,5.0,Fried Egg,0.38,0.0,3.0,89.0,large,,KKMhhPrdKR,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,dccbaf6f-86a4-4b7d-90e1-707101ab84df,1,
301.0,0.0,2.0,0.0,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2023-07-14 21:57:13.890,2023-07-14 21:57:13.890,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,0.0,1.0,130.0,"breast, bone and skin removed",,KKMhhPrdKR,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,5c1cca4b-2263-46de-b257-b273cf34a240,1,
86.0,0.0,0.0,0.0,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2023-07-14 21:57:13.890,2023-07-14 21:57:13.890,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,0.0,0.0,50.0,coffee cup (6 fl oz),,KKMhhPrdKR,g,1.295,,com.sec.android.app.shealth,9.14,3.7,c3630076-8b0c-4f3d-9818-d816c5e7ceda,1,
111.0,0.0,0.0,0.0,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2023-07-14 21:57:13.890,2023-07-14 21:57:13.890,0.028,0.28,0.002,0.0,Coffee,0.0,0.0,0.0,2.0,mug (8 fl oz),,KKMhhPrdKR,g,0.005,,com.sec.android.app.shealth,0.09,88.5,b3ee4c53-ec62-412e-b752-2ed48453d375,1,
0.0,0.0,0.0,0.0,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2023-07-14 21:57:13.891,2023-07-14 21:57:13.891,0.0,0.0,0.0,0.0,Water,0.0,0.0,0.0,0.0,cup (8 fl oz),,KKMhhPrdKR,g,0.0,,com.sec.android.app.shealth,0.0,,e98e2b83-0b6a-4ba6-b0cf-497c4c14a26c,1,
,0.0,0.0,0.0,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2023-07-14 21:57:13.891,2023-07-14 21:57:13.891,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,0.0,0.0,140.0,serving,,KKMhhPrdKR,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,afe21de4-529d-401b-8db5-1d6b056d3216,1,
366.0,9.0,1.0,0.0,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2023-07-14 21:57:13.891,2023-07-14 21:57:13.891,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,0.0,28.0,122.0,cup,,KKMhhPrdKR,g,3.067,,com.sec.android.app.shealth,11.42,2.0,a1a3361d-60df-45e7-858a-187f65581016,1,
