com.samsung.health.hrv,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-12-19 23:00:00.000,,bf99644e-460c-41cb-b92a-ed013e4653e0.binning_data.json,62800471,2024-12-20 00:14:19.229,2024-12-20 00:14:19.229,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2024-12-20 00:00:00.000,bf99644e-460c-41cb-b92a-ed013e4653e0,
62800471,2024-12-20 00:00:00.000,,894edaf5-fe70-45ec-8df7-313de076e9fe.binning_data.json,62800471,2024-12-20 01:19:41.222,2024-12-20 01:19:41.222,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2024-12-20 01:00:00.000,894edaf5-fe70-45ec-8df7-313de076e9fe,
62800471,2024-12-20 01:00:00.000,,e22ddcc2-0274-42af-a9ee-0247b5a7f656.binning_data.json,62800471,2024-12-20 02:13:26.305,2024-12-20 02:13:26.091,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2024-12-20 02:00:00.000,e22ddcc2-0274-42af-a9ee-0247b5a7f656,
62800471,2024-12-20 02:00:00.000,,9bdf198f-5ec8-45e2-8f04-5289150c113d.binning_data.json,62800471,2024-12-20 02:13:31.787,2024-12-20 02:13:31.787,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2024-12-20 02:13:31.542,9bdf198f-5ec8-45e2-8f04-5289150c113d,
62800471,2024-12-23 14:00:00.000,,dcd933b4-4de4-41d7-9747-305469f7afa7.binning_data.json,62800471,2024-12-23 15:08:34.110,2024-12-23 15:08:34.004,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2024-12-23 15:00:00.000,dcd933b4-4de4-41d7-9747-305469f7afa7,
62800471,2025-01-05 01:00:00.000,,332099ba-fc97-41cb-ba14-dd4ad98e4448.binning_data.json,62800471,2025-01-05 02:15:00.663,2025-01-05 02:15:00.663,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-05 02:00:00.000,332099ba-fc97-41cb-ba14-dd4ad98e4448,
62800471,2025-01-05 02:00:00.000,,16710743-e081-4c2a-bce8-581a2e0dee44.binning_data.json,62800471,2025-01-05 03:07:27.790,2025-01-05 03:07:27.790,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-05 03:00:00.000,16710743-e081-4c2a-bce8-581a2e0dee44,
62800471,2025-01-05 03:00:00.000,,99828168-7862-471e-b95b-69e1d795da15.binning_data.json,62800471,2025-01-05 03:42:48.275,2025-01-05 03:42:48.275,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-05 03:42:48.183,99828168-7862-471e-b95b-69e1d795da15,
62800471,2025-01-08 01:00:00.000,,02adbc04-dafc-4915-aa5d-bdd85a42bd9c.binning_data.json,62800471,2025-01-08 02:18:26.110,2025-01-08 02:18:26.110,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-08 02:00:00.000,02adbc04-dafc-4915-aa5d-bdd85a42bd9c,
62800471,2025-01-08 02:00:00.000,,88865b09-ee01-4364-b270-ffbe665f54f4.binning_data.json,62800471,2025-01-08 03:15:00.353,2025-01-08 03:15:00.353,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-08 03:00:00.000,88865b09-ee01-4364-b270-ffbe665f54f4,
