com.samsung.health.sleep_stage,6302031,7
create_sh_ver,start_time,sleep_id,custom,modify_sh_ver,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
,2023-07-16 15:42:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.229,2023-07-16 18:32:09.229,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 15:59:00.000,c4ac0949-8d8d-4b7c-a614-9ebfc88809e2,
,2023-07-16 15:59:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.229,2023-07-16 18:32:09.229,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 16:01:00.000,76c8e05c-d0a1-49d9-a72e-f144804f66bc,
,2023-07-16 16:01:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.230,2023-07-16 18:32:09.230,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 16:02:00.000,89527305-5e54-438c-b040-1f929ee0e317,
,2023-07-16 16:02:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.230,2023-07-16 18:32:09.230,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 16:03:00.000,9b4a1dfe-00ca-4ede-b4b3-303f28b76a81,
,2023-07-16 16:03:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.230,2023-07-16 18:32:09.230,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 16:16:00.000,7182dbbe-021e-4cd8-93b9-2d446f34e287,
,2023-07-16 16:16:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.230,2023-07-16 18:32:09.230,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 16:18:00.000,5674570d-8018-4265-9b17-efbde26365f6,
,2023-07-16 16:18:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.230,2023-07-16 18:32:09.230,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 16:29:00.000,4a1e2f3c-feba-413e-aa37-5014eda09c5e,
,2023-07-16 16:29:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 16:54:00.000,df31dd39-a4a0-45e6-b7e2-d8e4363826c4,
,2023-07-16 16:54:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 16:56:00.000,bd52a319-5f97-474c-92c7-eddd63ffb2f0,
,2023-07-16 16:56:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 17:07:00.000,92a6f2f5-359d-4872-bfd1-e3edbfad65aa,
,2023-07-16 17:07:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 17:21:00.000,c9adebd0-90d0-457d-abc4-3ed68a2a5d6c,
,2023-07-16 17:21:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 17:27:00.000,2ce6a5a4-350e-4ef6-85dc-d196981e479e,
,2023-07-16 17:27:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 17:35:00.000,5d456bfb-69a4-4728-bb8c-a96a114aefbd,
,2023-07-16 17:35:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 17:36:00.000,b9de6a78-fc19-4cc1-86fd-220077103752,
,2023-07-16 17:36:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 17:47:00.000,85003652-546c-4519-879b-edc77996d07c,
,2023-07-16 17:47:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 17:48:00.000,fa2ee941-33dd-4c00-810b-3f98d031f6f7,
,2023-07-16 17:48:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 17:51:00.000,4e07c2dc-4943-4e76-b7ae-f9d0cf85f78d,
,2023-07-16 17:51:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:08:00.000,1ec643d7-8e47-49a1-8038-688ca5d0dd64,
,2023-07-16 18:08:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:18:00.000,f596d4b4-1fc2-4ed2-8b06-ed1bf23b85a7,
,2023-07-16 18:18:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:21:00.000,e269e398-1a6a-4d11-83d8-65d6fe25dd0e,
,2023-07-16 18:21:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:24:00.000,b96f7d4c-5f56-4e1c-9877-e73efcf68a3c,
,2023-07-16 18:24:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:29:00.000,1da0519f-5427-4ad2-b987-b796134bcce2,
,2023-07-16 18:29:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:30:00.000,d129c5f4-f487-4ffd-90b8-1d6e2f95f3fc,
,2023-08-01 00:10:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 01:07:00.000,599ffbe5-fbe3-4347-96d8-6751ab75a79e,
,2023-08-01 01:07:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 01:29:00.000,aabc0964-6269-4b3f-915b-700db6b93e82,
,2023-08-01 01:29:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 01:59:00.000,59c1ae9d-498e-4e43-a440-55fc0a8e52f5,
,2023-08-01 01:59:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 02:11:00.000,365c0202-b3de-4301-8af6-b5f54f69f5ee,
,2023-08-01 02:11:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 02:12:00.000,43a7df5b-e59d-4152-8475-e9d230f28f6b,
