com.samsung.shealth.badge,6302031,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-07-19 04:00:00.000,,100003,1,,2024-10-24 04:58:55.304,2023-07-28 06:48:04.970,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC-0400,7522.84612327721,eyJR0JcLIT,com.sec.android.app.shealth,,tracker.pedometer,2023-07-20 03:59:59.999,51cb02be-0899-4ec4-9883-c3d6df9a3dc1,
,2023-07-31 22:34:27.869,,,1,,2023-08-01 02:34:27.880,2023-08-01 02:34:27.880,,sleep_goal_first_sleep,,,UTC+0000,,KKMhhPrdKR,com.sec.android.app.shealth,,Sleep.Goal,2023-07-31 22:34:27.869,bf67881c-bf43-44d3-8b9c-900ad481b57b,
,2023-09-28 15:18:05.481,15006,,1,,2023-09-28 15:47:31.087,2023-09-28 15:47:31.087,,exercise_goal_first_achieve,,,UTC-0400,,MPNPO0O1wv,com.sec.android.app.shealth,b481f62b-cdd8-4809-8da6-c9a508cc14a5,tracker.exercise,2023-09-28 15:47:30.603,9e6b8c21-d09e-4dc5-a15c-fff20bd0e9d8,
,2023-10-05 20:09:23.507,4003,,1,,2023-10-05 21:30:16.283,2023-10-05 21:30:16.283,,exercise_goal_first_achieve,,,UTC-0400,,MPNPO0O1wv,com.sec.android.app.shealth,38fa9621-b36b-4786-b22c-e6168f5d0c93,tracker.exercise,2023-10-05 21:30:15.660,9458ecc4-5e4f-4f72-a18b-fab2fceed112,
,2023-10-08 16:15:15.884,,,1,,2023-10-08 16:15:16.496,2023-10-08 16:15:16.496,,weight_first_body_check,,,UTC-0400,,MPNPO0O1wv,com.sec.android.app.shealth,,tracker.weight,2023-10-08 16:15:15.884,b50fbe32-c8c4-484c-a94c-75b78d3a9c4e,
,2023-12-26 15:20:38.508,0,,1,,2023-12-26 16:05:50.294,2023-12-26 16:05:50.294,,exercise_goal_first_achieve,,,UTC-0500,,MPNPO0O1wv,com.sec.android.app.shealth,9d6e21da-8b1c-43bf-8015-75d1e93af7d4,tracker.exercise,2023-12-26 16:05:49.978,d64af79c-bbd7-486c-b66e-d19cee7dc88a,
,2024-03-29 14:23:58.144,15002,,1,,2024-03-29 14:26:02.392,2024-03-29 14:26:02.392,,exercise_goal_first_achieve,,,UTC-0400,,sH3figesN6,com.sec.android.app.shealth,82f100b7-0f0f-48b9-b801-38591ea7a4d2,tracker.exercise,2024-03-29 14:26:02.100,0927649e-9640-41b7-9020-1ac9c0689e28,
,2024-04-17 16:53:38.398,11007,,1,,2024-04-17 17:33:17.281,2024-04-17 17:33:17.281,,cycling_goal_first_cycling,,,UTC-0400,,sH3figesN6,com.sec.android.app.shealth,55e24761-6502-45e9-a42d-f770d153dfa1,tracker.exercise,2024-04-17 17:33:16.728,53e2c145-10e3-43c6-bbed-2d8be2c755de,
,2024-06-07 22:15:03.838,15003,,1,,2024-06-07 22:30:23.591,2024-06-07 22:30:23.591,,exercise_goal_first_achieve,,,UTC-0400,,sH3figesN6,com.sec.android.app.shealth,772e5f24-d83c-40c5-827c-fd35c37090a8,tracker.exercise,2024-06-07 22:30:23.150,855cb072-d973-4861-9899-142a6d8872a0,
,2024-06-08 15:01:28.674,1001,,1,,2024-06-08 15:32:35.845,2024-06-08 15:32:35.845,,exercise_goal_first_achieve,,,UTC-0400,,sH3figesN6,com.sec.android.app.shealth,202e478e-59fc-46ba-9399-966d6925551c,tracker.exercise,2024-06-08 15:32:35.537,94d954ad-1ffd-48a4-87f8-2e5bfc933a28,
