com.samsung.shealth.exercise,6302031,16
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.client_data_id,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.client_data_ver,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
a11f0518-9d68-4870-82fe-32ddadff07e5.live_data_internal.json,,,,,,486.27002,,,,,a11f0518-9d68-4870-82fe-32ddadff07e5.sensing_status.json,1,,,,,,1,3692,,,,,,,,3705471,,,,,2023-06-30 17:50:52.701,0,,,,108.0,,,,,153.0,2023-07-14 21:57:20.759,2023-06-30 18:52:45.928,,,,,85.0,,,0.0,,486.24045,,,,UTC-0400,MPNPO0O1wv,,,a11f0518-9d68-4870-82fe-32ddadff07e5.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2023-06-30 18:52:39.532,a11f0518-9d68-4870-82fe-32ddadff07e5,,
a70b5b7a-917d-452f-991d-e754343756da.live_data_internal.json,,,,,,735.60315,,,,,a70b5b7a-917d-452f-991d-e754343756da.sensing_status.json,1,,,,,,1,5391,,,,,,,,5416571,,,,,2023-07-01 19:26:30.510,15002,,,,113.0,,,,,148.0,2023-07-14 21:57:21.184,2023-07-01 20:56:56.408,,,,,81.0,,,0.0,,735.5701,,,,UTC-0400,MPNPO0O1wv,,,a70b5b7a-917d-452f-991d-e754343756da.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2023-07-01 20:56:48.596,a70b5b7a-917d-452f-991d-e754343756da,,
e29b1e58-9a92-4a6a-891f-d1a46a609793.live_data_internal.json,,,,,,653.6701,,,,,e29b1e58-9a92-4a6a-891f-d1a46a609793.sensing_status.json,1,,,,,,1,4692,,,,,,,,4713274,,,,,2023-07-02 18:47:19.804,0,,,,117.0,,,,,146.0,2023-07-14 21:57:20.939,2023-07-02 20:06:01.312,,,,,92.0,,,0.0,,653.64,,,,UTC-0400,MPNPO0O1wv,,,e29b1e58-9a92-4a6a-891f-d1a46a609793.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2023-07-02 20:05:54.458,e29b1e58-9a92-4a6a-891f-d1a46a609793,,
b87f2f5b-75f6-4644-be63-e66b66f88e25.live_data_internal.json,,,,,,350.0,,,,,b87f2f5b-75f6-4644-be63-e66b66f88e25.sensing_status.json,4,,,,,,,1937,,,,,,,,2690360,,,,,2023-07-03 21:28:14.229,0,,,,122.0,,,,,144.0,2023-07-03 22:13:10.489,2023-07-03 22:13:10.489,,,,,84.0,,,,,350.0,,,,UTC-0400,MPNPO0O1wv,,,b87f2f5b-75f6-4644-be63-e66b66f88e25.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2023-07-03 22:13:04.519,b87f2f5b-75f6-4644-be63-e66b66f88e25,,
4b9baaec-b720-4852-be9c-35b69bbdf9db.live_data_internal.json,,,,,,165.6539,,,,,4b9baaec-b720-4852-be9c-35b69bbdf9db.sensing_status.json,4,,,,,,,695,,,,,,,,1328312,,,,,2023-07-06 16:08:37.231,0,,,,127.0,,,,,141.0,2023-07-06 16:30:50.981,2023-07-06 16:30:50.981,,,,,107.0,,,,,165.65,,,,UTC-0400,MPNPO0O1wv,,,4b9baaec-b720-4852-be9c-35b69bbdf9db.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2023-07-06 16:30:45.722,4b9baaec-b720-4852-be9c-35b69bbdf9db,,
2acd69c0-820e-4578-9283-dddb3948ffed.live_data_internal.json,,,,,,544.44354,,,,,2acd69c0-820e-4578-9283-dddb3948ffed.sensing_status.json,1,,,,,,1,3903,,,,,,,,3924176,,,,,2023-07-07 23:28:12.657,0,,,,116.0,,,,,148.0,2023-07-14 21:57:21.061,2023-07-08 00:33:44.924,,,,,75.0,,,0.0,,544.42004,,,,UTC-0400,MPNPO0O1wv,,,2acd69c0-820e-4578-9283-dddb3948ffed.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2023-07-08 00:33:37.910,2acd69c0-820e-4578-9283-dddb3948ffed,,
0345ad11-9059-42aa-a36c-ff4470cdf896.live_data_internal.json,,,,,,230.91,,,,,0345ad11-9059-42aa-a36c-ff4470cdf896.sensing_status.json,4,,,,,,,1205,,,,,,,,1833746,,,,,2023-07-11 16:55:58.069,0,,,,120.0,,,,,142.0,2023-07-11 17:26:37.843,2023-07-11 17:26:37.843,,,,,91.0,,,,,230.91,,,,UTC-0400,MPNPO0O1wv,,,0345ad11-9059-42aa-a36c-ff4470cdf896.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2023-07-11 17:26:31.188,0345ad11-9059-42aa-a36c-ff4470cdf896,,
c50795e9-79e9-4a39-8596-8cf5a76e2fda.live_data_internal.json,,,,,,567.8732,,,,,c50795e9-79e9-4a39-8596-8cf5a76e2fda.sensing_status.json,1,,,,,,1,3547,,,,,,,,3561910,,,,,2023-07-14 23:09:43.407,0,,,,129.0,,,,,159.0,2023-07-15 00:09:17.848,2023-07-15 00:09:15.868,,,,,107.0,,,0.0,,567.81,,,,UTC-0400,MPNPO0O1wv,,,c50795e9-79e9-4a39-8596-8cf5a76e2fda.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2023-07-15 00:09:08.092,c50795e9-79e9-4a39-8596-8cf5a76e2fda,,
d534b552-25aa-4904-8cb9-0cb2c71cf44c.live_data_internal.json,,,,,,135.75786,,,,,d534b552-25aa-4904-8cb9-0cb2c71cf44c.sensing_status.json,4,,,,,,,459,,,,,,,,1111313,,,,,2023-07-18 01:26:04.335,0,,,,131.0,,,,,147.0,2023-07-18 01:44:42.141,2023-07-18 01:44:42.141,,,,,103.0,,,,,135.75,,,,UTC-0400,MPNPO0O1wv,,,d534b552-25aa-4904-8cb9-0cb2c71cf44c.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2023-07-18 01:44:35.993,d534b552-25aa-4904-8cb9-0cb2c71cf44c,,
6f6e7b43-81cb-4df5-bdc0-a0c73d98e649.live_data_internal.json,,,,,,2103.9822,,,,,6f6e7b43-81cb-4df5-bdc0-a0c73d98e649.sensing_status.json,1,,,,,,1,14056,,,,,,,,14120939,,,,,2023-07-19 17:08:56.699,0,,,,119.0,,,,,158.0,2023-07-19 21:08:00.564,2023-07-19 21:04:33.946,,,,,85.0,,,0.0,,2103.9604,,,,UTC-0400,MPNPO0O1wv,,,6f6e7b43-81cb-4df5-bdc0-a0c73d98e649.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2023-07-19 21:04:18.590,6f6e7b43-81cb-4df5-bdc0-a0c73d98e649,,
