com.samsung.shealth.report,6302031,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1688875200000,2023-07-16 19:34:42.063,2023-07-16 19:34:42.063,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,33bf6328-873c-425f-84d4-fe8411d7e250,33bf6328-873c-425f-84d4-fe8411d7e250.compressed_content.json,
America/New_York,1689480000000,2023-07-23 19:34:50.051,2023-07-23 19:34:50.051,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,6073f72a-4abe-4c78-9277-45fbe9fe7015,6073f72a-4abe-4c78-9277-45fbe9fe7015.compressed_content.json,
America/New_York,1690084800000,2023-07-30 19:34:41.258,2023-07-30 19:34:41.258,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,d4ee9332-78c9-4452-aedd-f7b41b070017,d4ee9332-78c9-4452-aedd-f7b41b070017.compressed_content.json,
America/New_York,1690689600000,2023-08-06 19:34:40.542,2023-08-06 19:34:40.542,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,0708a74e-03ce-487e-89df-20508ae00cda,0708a74e-03ce-487e-89df-20508ae00cda.compressed_content.json,
America/New_York,1691294400000,2023-08-13 19:35:35.653,2023-08-13 19:35:35.653,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,71a417fe-9d99-465a-9a2f-b295ff2c2d7b,71a417fe-9d99-465a-9a2f-b295ff2c2d7b.compressed_content.json,
America/New_York,1691899200000,2023-08-20 19:34:41.973,2023-08-20 19:34:41.973,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,1dd09df9-0a41-422a-8d6d-c163c8eb8609,1dd09df9-0a41-422a-8d6d-c163c8eb8609.compressed_content.json,
America/New_York,1692504000000,2023-08-27 19:35:48.034,2023-08-27 19:35:48.034,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,673212c8-fe46-4ab2-830c-a893e9fa92f8,673212c8-fe46-4ab2-830c-a893e9fa92f8.compressed_content.json,
America/New_York,1693108800000,2023-09-03 19:35:30.787,2023-09-03 19:35:30.787,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,916b11cb-4b3d-4b8d-a981-3c5caa37bfeb,916b11cb-4b3d-4b8d-a981-3c5caa37bfeb.compressed_content.json,
America/New_York,1693713600000,2023-09-10 19:36:12.012,2023-09-10 19:36:12.012,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,1d4fe9f1-d233-486e-be9b-70e8e4b7888c,1d4fe9f1-d233-486e-be9b-70e8e4b7888c.compressed_content.json,
America/New_York,1694318400000,2023-09-17 19:34:48.300,2023-09-17 19:34:48.300,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,2d5b5b7c-2591-4787-9fa9-99dae99ea46c,2d5b5b7c-2591-4787-9fa9-99dae99ea46c.compressed_content.json,
America/New_York,1607835600000,2020-12-23 20:24:22.712,2020-12-22 20:10:36.709,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,4add20ad-887f-4bac-b9c3-70044717e144,4add20ad-887f-4bac-b9c3-70044717e144.compressed_content.json,
