com.samsung.shealth.service_preferences,6302031,1
text_value,service_id,float_value,update_time,create_time,long_value,key,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,tracker.daily_activity,,2024-07-25 21:06:28.759,2024-07-10 00:19:29.004,1721927188752,daily_activity_all_over_half_target_cheer_up_time,,,,SnrY7WKSDr,com.sec.android.app.shealth,,2537e99c-7aef-4f33-ba1f-b4f452e25de8,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0}",app.settings,,2024-07-18 03:33:46.748,2024-07-10 00:32:00.476,,psm_plus_settings,,,,SnrY7WKSDr,com.sec.android.app.shealth,,fa433e26-fe95-49f9-9716-46d10b1ef05c,
,app.settings,,2024-07-18 03:33:46.782,2024-07-10 00:32:00.502,,psm_plus_enable,,,0,SnrY7WKSDr,com.sec.android.app.shealth,,e7a4126f-e3e6-48e8-9eee-b61070f536b6,
,tracker.daily_activity,,2025-01-15 14:35:54.417,2024-07-10 12:24:04.575,1736933754413,daily_activity_yesterday_all_target_checked_time,,,,SnrY7WKSDr,com.sec.android.app.shealth,,cd24578a-db66-4b10-b659-d033ee1982fb,
,tracker.daily_activity,,2024-12-24 23:48:46.871,2024-07-11 22:36:08.451,1735066126866,daily_activity_active_time_target_achievement_time,,,,SnrY7WKSDr,com.sec.android.app.shealth,,7ee8ede7-0906-4bb1-9149-d61522a2ef93,
,tracker.daily_activity,,2024-11-14 01:59:08.963,2024-07-14 00:19:17.874,1731531548956,daily_activity_step_target_achievement_time,,,,SnrY7WKSDr,com.sec.android.app.shealth,,6104e62b-53d1-4975-9818-f738901dad95,
,tracker.daily_activity,,2024-12-13 23:49:18.707,2024-07-14 00:19:18.270,1734115758684,daily_activity_active_calorie_target_achievement_time,,,,SnrY7WKSDr,com.sec.android.app.shealth,,a8c50ae4-e454-48dc-8a3c-00b7ff2f6313,
,tracker.daily_activity,,2024-11-14 01:59:08.985,2024-07-14 00:19:18.313,1731531548969,daily_activity_all_target_achievement_time,,,,O9FeBgTflh,com.sec.android.app.shealth,,6d8d59fa-9309-4b46-8b97-13997b89804b,
,tracker.daily_activity,,2024-11-10 23:19:20.787,2024-11-10 23:19:20.787,1731262760758,daily_activity_all_near_target_cheer_up_time,,,,uAWUqdMJDI,com.sec.android.app.shealth,,63b4f07d-d396-4932-b796-fb4d49f5e5c4,
,tracker.daily_activity,,2025-07-05 21:38:51.762,2025-01-16 04:16:23.100,1751737131745,da_all_over_half_cheer_up_time,,,,uAWUqdMJDI,com.sec.android.app.shealth,,da_all_over_half_cheer_up_time,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0}",app.settings,,2025-07-01 00:38:25.443,2025-01-16 04:30:15.101,,psm_plus_settings_new,,,,uAWUqdMJDI,com.sec.android.app.shealth,,psm_plus_settings_new,
,app.settings,,2025-07-01 00:38:25.551,2025-01-16 04:30:15.112,,psm_plus_enable_new,,,0,uAWUqdMJDI,com.sec.android.app.shealth,,psm_plus_enable_new,
,tracker.daily_activity,,2025-07-07 12:00:29.015,2025-01-16 14:28:53.650,1751875228994,da_yesterday_all_checked_time,,,,uAWUqdMJDI,com.sec.android.app.shealth,,da_yesterday_all_checked_time,
,tracker.daily_activity,,2025-07-05 01:44:19.462,2025-01-25 02:34:48.375,1751665459411,da_active_time_achievement_time,,,,uAWUqdMJDI,com.sec.android.app.shealth,,da_active_time_achievement_time,
,tracker.daily_activity,,2025-07-04 20:19:11.503,2025-01-25 03:33:59.668,1751645951265,da_active_calorie_achievement_time,,,,uAWUqdMJDI,com.sec.android.app.shealth,,da_active_calorie_achievement_time,
,tracker.daily_activity,,2025-07-05 02:12:45.603,2025-02-21 23:35:43.708,1751667165593,da_step_achievement_time,,,,uAWUqdMJDI,com.sec.android.app.shealth,,da_step_achievement_time,
,tracker.daily_activity,,2025-07-05 02:12:45.660,2025-02-21 23:35:43.724,1751667165620,da_all_achievement_time,,,,uAWUqdMJDI,com.sec.android.app.shealth,,da_all_achievement_time,
,tracker.daily_activity,,2025-06-03 01:54:02.017,2025-02-22 23:28:29.537,1748822400000,da_monthly_goal_first_day,,,,eyJR0JcLIT,com.sec.android.app.shealth,,da_monthly_goal_first_day,
