com.samsung.shealth.tracker.pedometer_step_count,6302031,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
9214,4,0,16,2025-05-22 03:55:00.000,,,2025-05-22 04:15:00.089,2025-05-22 04:15:00.089,16,1.3055557,12.03,0.82,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 03:56:00.000,ba011adc-5224-4693-9816-2a0644cdef2b,
7208,4,0,12,2025-05-22 03:56:00.000,,,2025-05-22 04:15:00.177,2025-05-22 04:15:00.177,12,1.1944444,8.61,0.68,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 03:57:00.000,46f58f13-88f5-4f5c-b822-0e4bc7e2990e,
7695,4,0,10,2025-05-22 03:58:00.000,,,2025-05-22 04:15:00.232,2025-05-22 04:15:00.232,10,0.8888889,6.84,0.65,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 03:59:00.000,6a3a3b3b-3a04-4218-9e3b-7338ad5a0be3,
8848,4,0,13,2025-05-22 03:59:00.000,,,2025-05-22 04:15:00.282,2025-05-22 04:15:00.282,13,1.0555556,9.34,0.67,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:00:00.000,783f88e6-3133-4de2-a0da-41a4e865fe51,
4545,4,0,11,2025-05-22 04:01:00.000,,,2025-05-22 04:18:54.082,2025-05-22 04:18:54.082,11,2.0000002,9.09,0.47,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:02:00.000,7c10bd24-f6a3-4687-863c-151ad6748eed,
4373,4,0,10,2025-05-22 04:03:00.000,,,2025-05-22 04:18:54.207,2025-05-22 04:18:54.207,10,1.8611113,8.14,0.51,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:04:00.000,0b379ef8-037a-4cef-8564-7c64532c2e08,
5760,4,0,13,2025-05-22 04:04:00.000,,,2025-05-22 04:18:54.254,2025-05-22 04:18:54.254,13,1.8333334,10.56,0.65,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:05:00.000,2b961569-bf7f-4191-a235-48eb0a71fd72,
7316,4,0,10,2025-05-22 04:08:00.000,,,2025-05-22 04:18:54.319,2025-05-22 04:18:54.319,10,0.9444444,6.91,0.51,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:09:00.000,9072fa93-5a9b-4579-bc2c-c73d267f5710,
18683,4,0,33,2025-05-22 04:09:00.000,,,2025-05-22 04:18:54.411,2025-05-22 04:18:54.411,33,1.3611112,25.43,1.61,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:10:00.000,c1a6374a-ae3f-42d6-bce9-be9d69e40ee8,
1704,4,0,4,2025-05-22 04:10:00.000,,,2025-05-22 04:18:54.498,2025-05-22 04:18:54.498,4,1.8888888,3.22,0.2,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:11:00.000,20bbc38d-c867-4405-b2ef-9f78afafe20c,
9776,4,0,18,2025-05-22 04:13:00.000,,,2025-05-22 04:18:54.584,2025-05-22 04:18:54.584,18,1.4166666,13.85,0.95,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:14:00.000,63da5afe-a284-4eba-9ac9-e0688a455688,
6319,4,0,11,2025-05-22 04:18:00.000,,,2025-05-22 04:34:59.053,2025-05-22 04:34:59.053,11,1.3055556,8.25,0.55,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:19:00.000,fccb95ca-a8b6-46e9-9b0c-2c904f0af552,
4200,4,0,11,2025-05-22 04:22:00.000,,,2025-05-22 04:36:06.572,2025-05-22 04:36:06.572,11,2.1666667,9.1,0.39,UTC-0700,uAWUqdMJDI,com.sec.android.app.shealth,2025-05-22 04:23:00.000,374623ed-161a-44d9-bc52-73a35fce67d4,
10317,4,0,18,2025-05-22 04:47:00.000,,,2025-05-22 04:49:22.491,2025-05-22 04:49:22.491,18,1.3055556,13.47,0.58,UTC-0700,eyJR0JcLIT,com.sec.android.app.shealth,2025-05-22 04:48:00.000,3d08d43e-26e6-4acb-91f3-eface0991a0c,
20343,4,0,35,2025-05-22 04:48:00.000,,,2025-05-22 04:49:22.516,2025-05-22 04:49:22.516,35,1.3055556,26.56,1.09,UTC-0700,eyJR0JcLIT,com.sec.android.app.shealth,2025-05-22 04:49:00.000,fe171d28-b688-4951-bfa3-0eb97c5d427a,
3482,4,0,6,2025-05-22 04:49:00.000,,,2025-05-22 04:49:26.722,2025-05-22 04:49:26.722,6,1.2777778,4.45,0.2,UTC-0700,eyJR0JcLIT,com.sec.android.app.shealth,2025-05-22 04:50:00.000,45863ed7-8bfa-43b6-a3ba-69aa7b5e6338,
40455,4,0,61,2025-05-22 04:50:00.000,,,2025-05-22 04:55:01.155,2025-05-22 04:55:01.155,61,1.1111112,44.95,1.9,UTC-0700,eyJR0JcLIT,com.sec.android.app.shealth,2025-05-22 04:51:00.000,23009ccc-1ef6-4225-bf4a-e78119a4411c,
